id,title,category
620,Install window casing,Trim & Doors
621,Install crown molding,Trim & Doors
622,Install interior door hardware (handles/locks),Trim & Doors
623,Install closet door tracks (if any),Trim & Doors
624,Install pocket door hardware (if any),Trim & Doors
625,Install barn door hardware (optional),Trim & Doors
626,Install attic access trim,Trim & Doors
627,Install stair trim,Trim & Doors
628,Install toilets,Fixtures & Final MEP
629,Install sinks and faucets,Fixtures & Final MEP
630,Install tubs (final trim),Fixtures & Final MEP
631,Install shower trim,Fixtures & Final MEP
632,"Install bath accessories (towel bars, etc.)",Fixtures & Final MEP
633,Install water heater,Fixtures & Final MEP
634,Start up water heater,Fixtures & Final MEP
635,Install water softener/filtration (if any),Fixtures & Final MEP
636,Install garbage disposal,Fixtures & Final MEP
637,Install dishwasher hook-up,Fixtures & Final MEP
638,Install final electrical devices (switches/outlets),Fixtures & Final MEP
639,Install lighting fixtures,Fixtures & Final MEP
640,Install ceiling fans,Fixtures & Final MEP
641,Install smoke/CO detectors,Fixtures & Final MEP
642,Install thermostat(s),Fixtures & Final MEP
643,Install registers and grilles,Fixtures & Final MEP
644,Install bath fans (final),Fixtures & Final MEP
645,HVAC system startup,Fixtures & Final MEP
646,HVAC air balancing,Fixtures & Final MEP
647,Commission ERV/HRV,Fixtures & Final MEP
648,Plumbing final pressure/leak test,Fixtures & Final MEP
649,Electrical final test and labeling,Fixtures & Final MEP
650,Label electrical panel,Fixtures & Final MEP
651,Install surge protection (optional),Fixtures & Final MEP
652,Install EV charger (final) (optional),Fixtures & Final MEP
653,Install generator transfer switch (final) (optional),Fixtures & Final MEP
654,Install final plumbing fixtures in Kitchen,Fixtures & Final MEP
655,Install final plumbing fixtures in Primary bath,Fixtures & Final MEP
656,Install final plumbing fixtures in Guest bath,Fixtures & Final MEP
657,Install final plumbing fixtures in Powder room,Fixtures & Final MEP
658,Install final plumbing fixtures in Laundry,Fixtures & Final MEP
659,Install final plumbing fixtures in Mudroom,Fixtures & Final MEP
660,Install final lighting in Kitchen,Fixtures & Final MEP
661,Install final lighting in Primary bath,Fixtures & Final MEP
662,Install final lighting in Guest bath,Fixtures & Final MEP
663,Install final lighting in Powder room,Fixtures & Final MEP
664,Install final lighting in Laundry,Fixtures & Final MEP
665,Install final lighting in Mudroom,Fixtures & Final MEP
666,Install final lighting in Garage,Fixtures & Final MEP
667,Install final lighting in Basement,Fixtures & Final MEP
668,Install final lighting in Attic,Fixtures & Final MEP
669,Install final lighting in Mechanical room,Fixtures & Final MEP
670,Install final lighting in Outdoor,Fixtures & Final MEP
671,Deliver appliances,Appliances
672,Install range/oven,Appliances
673,Install cooktop,Appliances
674,Install range hood,Appliances
675,Install refrigerator,Appliances
676,Install microwave,Appliances
677,Install dishwasher,Appliances
678,Install washer,Appliances
679,Install dryer,Appliances
680,Install wine fridge (optional),Appliances
681,Appliance testing and startup,Appliances
682,Install solar racking,Specialty Systems
683,Install solar panels,Specialty Systems
684,Install solar inverter,Specialty Systems
685,Install battery storage,Specialty Systems
686,Solar commissioning,Specialty Systems
687,Install radiant floor manifolds,Specialty Systems
688,Radiant system pressure test,Specialty Systems
689,Install boiler (radiant),Specialty Systems
690,Commission radiant heat,Specialty Systems
691,Install heat pump water heater (optional),Specialty Systems
692,Install geothermal loop (optional),Specialty Systems
693,Commission geothermal (optional),Specialty Systems
694,Install elevator shaft framing,Specialty Systems
695,Install elevator rails,Specialty Systems
696,Install elevator cab,Specialty Systems
697,Elevator inspection,Specialty Systems
698,Install home automation hub,Specialty Systems
699,Program smart lighting,Specialty Systems
700,Program smart thermostats,Specialty Systems
701,Program smart locks,Specialty Systems
702,Install smart doorbell,Specialty Systems
703,Install whole-home audio amps,Specialty Systems
704,Install theater wiring and projector (optional),Specialty Systems
705,Install security panel,Specialty Systems
706,Install sensors and keypads,Specialty Systems
707,Install cameras and NVR,Specialty Systems
708,Security system commissioning,Specialty Systems
709,Install central vacuum rough-in,Specialty Systems
710,Install central vacuum unit,Specialty Systems
711,Install water leak sensors (optional),Specialty Systems
712,Install dehumidifier (whole-house) (optional),Specialty Systems
713,Install humidifier (whole-house) (optional),Specialty Systems
714,Install backup sump pump (optional),Specialty Systems
715,Install radon fan (if needed),Specialty Systems
716,Radon test (post-build),Specialty Systems
717,Install lightning protection (optional),Specialty Systems
718,Install CCTV signage (optional),Specialty Systems
719,Install roof-mounted snow melt system (optional),Specialty Systems
720,Install heated driveway system (optional),Specialty Systems
721,Install radiant ceiling panels (optional),Specialty Systems
722,Install sauna/steam room rough-in (optional),Specialty Systems
723,Install home gym flooring (optional),Specialty Systems
724,Install soundproofing package (optional),Specialty Systems
725,Install smart glass/tint system (optional),Specialty Systems
726,Install backup battery for sump (optional),Specialty Systems
727,Install wildfire ember-resistant vents (optional),Specialty Systems
728,Build deck framing,Outdoor Structures
729,Install deck boards,Outdoor Structures
730,Install deck railing,Outdoor Structures
731,Build covered porch,Outdoor Structures
732,Install porch ceiling finish,Outdoor Structures
733,Build pergola (optional),Outdoor Structures
734,Build gazebo (optional),Outdoor Structures
735,Build outdoor kitchen (optional),Outdoor Structures
736,Install outdoor grill gas line (optional),Outdoor Structures
737,Build detached garage (optional),Outdoor Structures
738,Build workshop/shed (optional),Outdoor Structures
739,Build ADU foundation (optional),Outdoor Structures
740,Build ADU framing (optional),Outdoor Structures
741,Build ADU finishes (optional),Outdoor Structures
742,Pool design finalization,Pools & Water Features
743,Pool permit approval,Pools & Water Features
744,Excavate pool,Pools & Water Features
745,Install pool steel/rebar,Pools & Water Features
746,Pool plumbing rough-in,Pools & Water Features
747,Pool electrical rough-in,Pools & Water Features
748,Shotcrete/gunite pool shell,Pools & Water Features
749,Pool tile and coping,Pools & Water Features
750,Pool decking installation,Pools & Water Features
751,Install pool equipment (pump/filter/heater),Pools & Water Features
752,Pool startup and balancing,Pools & Water Features
753,Install hot tub (optional),Pools & Water Features
754,Install pond/waterfall (optional),Pools & Water Features
755,Install fountain (optional),Pools & Water Features
756,Install retaining wall footing,Hardscape & Landscaping
757,Build retaining wall (block),Hardscape & Landscaping
758,Build retaining wall (poured concrete),Hardscape & Landscaping
759,Install retaining wall drainage,Hardscape & Landscaping
760,Install landscape drainage (French drains),Hardscape & Landscaping
761,Install yard grading,Hardscape & Landscaping
762,Install topsoil,Hardscape & Landscaping
763,Install sod,Hardscape & Landscaping
764,Seed lawn,Hardscape & Landscaping
765,Plant trees,Hardscape & Landscaping
766,Plant shrubs,Hardscape & Landscaping
767,Install mulch,Hardscape & Landscaping
768,Install irrigation mainline,Hardscape & Landscaping
769,Install irrigation valves,Hardscape & Landscaping
770,Install irrigation sprinkler heads,Hardscape & Landscaping
771,Program irrigation controller,Hardscape & Landscaping
772,Install landscape lighting (optional),Hardscape & Landscaping
773,Install garden edging,Hardscape & Landscaping
774,Install privacy screening (optional),Hardscape & Landscaping
775,Install driveway subbase,Driveways & Access
776,Install gravel driveway,Driveways & Access
777,Pour concrete driveway,Driveways & Access
778,Install asphalt driveway,Driveways & Access
779,Install paver driveway (optional),Driveways & Access
780,Install walkway pavers,Driveways & Access
781,Pour concrete walkways,Driveways & Access
782,Install steps and landings,Driveways & Access
783,Install curb cut/approach,Driveways & Access
784,Install gates (optional),Driveways & Access
785,Install fencing (optional),Driveways & Access
786,Survey as-built foundation (optional),Testing & Inspections
787,Rough grading inspection (if required),Testing & Inspections
788,Footing inspection,Testing & Inspections
789,Foundation wall inspection,Testing & Inspections
790,Under-slab inspection,Testing & Inspections
791,Framing inspection,Testing & Inspections
792,Shear/hold-down inspection (if required),Testing & Inspections
793,Rough plumbing inspection,Testing & Inspections
794,Rough electrical inspection,Testing & Inspections
795,Rough HVAC inspection,Testing & Inspections
796,Insulation inspection,Testing & Inspections
797,Drywall inspection (if required),Testing & Inspections
798,Fire sprinkler inspection,Testing & Inspections
799,Fire alarm inspection (optional),Testing & Inspections
800,Blower door test (final) (if required),Testing & Inspections
801,Duct leakage test (if required),Testing & Inspections
802,Final plumbing inspection,Testing & Inspections
803,Final electrical inspection,Testing & Inspections
804,Final HVAC inspection,Testing & Inspections
805,Final building inspection,Testing & Inspections
806,Certificate of Occupancy issued,Testing & Inspections
807,Create punch list,Closeout & Handover
808,Complete punch list items,Closeout & Handover
809,Final cleaning,Closeout & Handover
810,Owner walkthrough,Closeout & Handover
811,Deliver keys and access codes,Closeout & Handover
812,Deliver manuals and warranties,Closeout & Handover
813,Deliver as-built drawings (if provided),Closeout & Handover
814,Close permits,Closeout & Handover
815,Finalize lien releases,Closeout & Handover
816,Final payment,Closeout & Handover
817,Move-in,Closeout & Handover
818,Submit change order request,Repairs & Change Orders
819,Approve change order,Repairs & Change Orders
820,Schedule rework,Repairs & Change Orders
821,Correct inspection deficiencies,Repairs & Change Orders
822,Repair damaged materials,Repairs & Change Orders
823,Address water intrusion issue,Repairs & Change Orders
824,Address framing correction,Repairs & Change Orders
825,Address drywall repair,Repairs & Change Orders
826,Address paint touch-up,Repairs & Change Orders
827,Address flooring repair,Repairs & Change Orders
828,Address cabinet adjustment,Repairs & Change Orders
829,Address countertop repair,Repairs & Change Orders
830,Address HVAC callback,Repairs & Change Orders
831,Address plumbing leak callback,Repairs & Change Orders
832,Address electrical callback,Repairs & Change Orders
